n,t
16,0.00261987
32,0.00162192
64,0.00199377
128,0.00281904
256,0.00448851
512,0.00423192
1024,0.00701987
2048,0.0127865
4096,0.0250826
8192,0.0496228
16384,0.0994043
32768,0.201339
65536,0.41127
131072,0.836808
