n,t
16,0.00273068
32,0.00172765
64,0.00232702
128,0.00345127
256,0.00544822
512,0.00668696
1024,0.00835392
2048,0.01495
4096,0.0293676
8192,0.0582141
16384,0.116896
32768,0.253574
65536,0.480396
131072,0.95342
