n,t
16,0.00102918
32,0.0012324
64,0.00159329
128,0.00245849
256,0.00420607
512,0.00773983
1024,0.0147625
2048,0.0282331
4096,0.0560168
8192,0.111359
16384,0.22639
32768,0.461392
65536,0.929955
131072,1.86186
