n,t
16,0.00260733
32,0.00131897
64,0.00174096
128,0.0025996
256,0.00400825
512,0.00416671
1024,0.0088703
2048,0.0116501
4096,0.0234535
8192,0.0453783
16384,0.0938378
32768,0.192697
65536,0.406436
131072,0.77711
