n,t
16,0.000842574
32,0.000993467
64,0.00124645
128,0.00177022
256,0.00281235
512,0.00499862
1024,0.00940309
2048,0.01744
4096,0.0343241
8192,0.0688512
16384,0.139209
32768,0.287271
65536,0.568426
131072,1.15161
