n,t
16,0.000922103
32,0.00124856
64,0.00179964
128,0.00204437
256,0.0033578
512,0.00601067
1024,0.0114222
2048,0.0216981
4096,0.0424882
8192,0.0847482
16384,0.169633
32768,0.340385
65536,0.678516
131072,1.36682
